COG	Protein name	Pathway	Letter	Function
COG0059	Ketol-acid reductoisomerase	Isoleucine, leucine, valine biosynthesis	E	Amino Acid Transport and Metabolism
COG0059	Ketol-acid reductoisomerase	Isoleucine, leucine, valine biosynthesis	H	Coenzyme Transport and Metabolism
COG0060	Isoleucyl-tRNA synthetase	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG0061	NAD kinase		H	Coenzyme Transport and Metabolism
COG0062	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain		F	Nucleotide Transport and Metabolism
COG0063	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain		F	Nucleotide Transport and Metabolism
COG0064	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG0065	Homoaconitase/3-isopropylmalate dehydratase large subunit	Isoleucine, leucine, valine biosynthesis	E	Amino Acid Transport and Metabolism
COG0066	3-isopropylmalate dehydratase small subunit	Isoleucine, leucine, valine biosynthesis	E	Amino Acid Transport and Metabolism
COG0067	Glutamate synthase domain 1	Glutamine biosynthesis	E	Amino Acid Transport and Metabolism
COG0068	Hydrogenase maturation factor HypF (carbamoyltransferase)		O	Post-translational Modification, Protein Turnover, Chaperones
COG0069	Glutamate synthase domain 2	Glutamine biosynthesis	E	Amino Acid Transport and Metabolism
COG0070	Glutamate synthase domain 3	Glutamine biosynthesis	E	Amino Acid Transport and Metabolism
COG0071	Small heat shock protein IbpA, HSP20 family		O	Post-translational Modification, Protein Turnover, Chaperones
COG0072	Phenylalanyl-tRNA synthetase beta subunit	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG0073	tRNA-binding EMAP/Myf domain		J	Translation, Ribosomal Structure and Biogenesis
COG0074	Succinyl-CoA synthetase, alpha subunit	TCA cycle	C	Energy Production and Conversion
COG0075	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	Serine biosynthesis	E	Amino Acid Transport and Metabolism
COG0075	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	Serine biosynthesis	F	Nucleotide Transport and Metabolism
COG0076	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein	Pantothenate/CoA biosynthesis	E	Amino Acid Transport and Metabolism
COG0077	Prephenate dehydratase	Aromatic amino acid biosynthesis	E	Amino Acid Transport and Metabolism
COG0078	Ornithine carbamoyltransferase	Arginine biosynthesis	E	Amino Acid Transport and Metabolism
COG0079	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	Cobalamine/B12 biosynthesis	E	Amino Acid Transport and Metabolism
COG0080	Ribosomal protein L11	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0081	Ribosomal protein L1	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0082	Chorismate synthase	Aromatic amino acid biosynthesis	E	Amino Acid Transport and Metabolism
COG0083	Homoserine kinase	Threonine biosynthesis	E	Amino Acid Transport and Metabolism
COG0084	3'->5' ssDNA/RNA exonuclease TatD		N	Cell Motility
COG0085	DNA-directed RNA polymerase, beta subunit/140 kD subunit	RNA polymerase	K	Transcription
COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	RNA polymerase	K	Transcription
COG0087	Ribosomal protein L3	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0088	Ribosomal protein L4	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0089	Ribosomal protein L23	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0090	Ribosomal protein L2	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0091	Ribosomal protein L22	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0092	Ribosomal protein S3	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0093	Ribosomal protein L14	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0094	Ribosomal protein L5	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0095	Lipoate-protein ligase A	Lipoate biosynthesis	H	Coenzyme Transport and Metabolism
COG0096	Ribosomal protein S8	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0097	Ribosomal protein L6P/L9E	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0098	Ribosomal protein S5	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0099	Ribosomal protein S13	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0100	Ribosomal protein S11	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0101	tRNA U38,U39,U40 pseudouridine synthase TruA	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0102	Ribosomal protein L13	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0103	Ribosomal protein S9	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0104	Adenylosuccinate synthase	Purine biosynthesis	F	Nucleotide Transport and Metabolism
COG0105	Nucleoside diphosphate kinase	Pyrimidine biosynthesis	F	Nucleotide Transport and Metabolism
COG0106	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	Histidine biosynthesis	E	Amino Acid Transport and Metabolism
COG0107	Imidazole glycerol phosphate synthase subunit HisF	Histidine biosynthesis	E	Amino Acid Transport and Metabolism
COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase	Riboflavin/FAD biosynthesis	H	Coenzyme Transport and Metabolism
COG0109	Polyprenyltransferase (heme O synthase)		H	Coenzyme Transport and Metabolism
COG0109	Polyprenyltransferase (heme O synthase)		I	Lipid Transport and Metabolism
COG0110	Acetyltransferase, isoleucine patch superfamily		R	General Function Prediction Only
COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase	Serine biosynthesis	H	Coenzyme Transport and Metabolism
COG0112	Glycine/serine hydroxymethyltransferase	Serine biosynthesis	E	Amino Acid Transport and Metabolism
COG0113	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase	Heme biosynthesis	H	Coenzyme Transport and Metabolism
COG0114	Fumarate hydratase class II	TCA cycle	C	Energy Production and Conversion
COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	Isoleucine, leucine, valine biosynthesis	E	Amino Acid Transport and Metabolism
COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	Isoleucine, leucine, valine biosynthesis	H	Coenzyme Transport and Metabolism
COG0116	23S rRNA G2445 N2-methylase RlmL	23S rRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0117	Riboflavin biosynthesis protein RibD, pyrimidine deaminase domain	Riboflavin/FAD biosynthesis	H	Coenzyme Transport and Metabolism
COG0118	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH	Histidine biosynthesis	E	Amino Acid Transport and Metabolism
COG0119	Isopropylmalate/homocitrate/citramalate synthases	Isoleucine, leucine, valine biosynthesis	E	Amino Acid Transport and Metabolism
COG0120	Ribose 5-phosphate isomerase	Pentose phosphate pathway	G	Carbohydrate Transport and Metabolism
COG0121	Predicted glutamine amidotransferase YafJ		R	General Function Prediction Only
COG0122	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase		L	Replication, Recombination and Repair
COG0123	Acetoin utilization deacetylase AcuC or a related deacetylase		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG0124	Histidyl-tRNA synthetase	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG0125	Thymidylate kinase	Thymidylate biosynthesis	F	Nucleotide Transport and Metabolism
COG0126	3-phosphoglycerate kinase	Glycolysis	G	Carbohydrate Transport and Metabolism
COG0127	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family		F	Nucleotide Transport and Metabolism
COG0128	5-enolpyruvylshikimate-3-phosphate synthase	Aromatic amino acid biosynthesis	E	Amino Acid Transport and Metabolism
COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase	Isoleucine, leucine, valine biosynthesis	E	Amino Acid Transport and Metabolism
COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase	Isoleucine, leucine, valine biosynthesis	G	Carbohydrate Transport and Metabolism
COG0130	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0131	Imidazoleglycerol phosphate dehydratase HisB	Histidine biosynthesis	E	Amino Acid Transport and Metabolism
COG0132	Dethiobiotin synthetase	Biotin biosynthesis	H	Coenzyme Transport and Metabolism
COG0133	Tryptophan synthase beta chain	Aromatic amino acid biosynthesis	E	Amino Acid Transport and Metabolism
COG0134	Indole-3-glycerol phosphate synthase	Aromatic amino acid biosynthesis	E	Amino Acid Transport and Metabolism
COG0135	Phosphoribosylanthranilate isomerase	Aromatic amino acid biosynthesis	E	Amino Acid Transport and Metabolism
COG0136	Aspartate-semialdehyde dehydrogenase	Lysine biosynthesis	E	Amino Acid Transport and Metabolism
COG0137	Argininosuccinate synthase	Arginine biosynthesis	E	Amino Acid Transport and Metabolism
COG0138	AICAR transformylase/IMP cyclohydrolase PurH	Purine biosynthesis	F	Nucleotide Transport and Metabolism
COG0139	Phosphoribosyl-AMP cyclohydrolase	Histidine biosynthesis	E	Amino Acid Transport and Metabolism
COG0140	Phosphoribosyl-ATP pyrophosphohydrolase	Histidine biosynthesis	E	Amino Acid Transport and Metabolism
COG0141	Histidinol dehydrogenase	Histidine biosynthesis	E	Amino Acid Transport and Metabolism
COG0142	Geranylgeranyl pyrophosphate synthase	Isoprenoid biosynthesis	H	Coenzyme Transport and Metabolism
COG0143	Methionyl-tRNA synthetase	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG0144	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family	16S rRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0145	N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit		E	Amino Acid Transport and Metabolism
COG0145	N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG0146	N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit		E	Amino Acid Transport and Metabolism
COG0146	N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG0147	Anthranilate/para-aminobenzoate synthases component I	Aromatic amino acid biosynthesis	E	Amino Acid Transport and Metabolism
COG0147	Anthranilate/para-aminobenzoate synthases component I	Aromatic amino acid biosynthesis	H	Coenzyme Transport and Metabolism
COG0148	Enolase	Glycolysis	G	Carbohydrate Transport and Metabolism
COG0149	Triosephosphate isomerase	Glycolysis	G	Carbohydrate Transport and Metabolism
COG0150	Phosphoribosylaminoimidazole (AIR) synthetase	Purine biosynthesis	F	Nucleotide Transport and Metabolism
COG0151	Phosphoribosylamine-glycine ligase	Purine biosynthesis	F	Nucleotide Transport and Metabolism
COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase	Purine biosynthesis	F	Nucleotide Transport and Metabolism
COG0153	Galactokinase		G	Carbohydrate Transport and Metabolism
COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG0155	Sulfite reductase, beta subunit (hemoprotein)	Cysteine biosynthesis	P	Inorganic Ion Transport and Metabolism
COG0156	7-keto-8-aminopelargonate synthetase or related enzyme	Biotin biosynthesis	H	Coenzyme Transport and Metabolism
COG0157	Nicotinate-nucleotide pyrophosphorylase	NAD biosynthesis	H	Coenzyme Transport and Metabolism
COG0158	Fructose-1,6-bisphosphatase	Gluconeogenesis	G	Carbohydrate Transport and Metabolism
COG0159	Tryptophan synthase alpha chain	Aromatic amino acid biosynthesis	E	Amino Acid Transport and Metabolism
COG0160	Acetylornithine aminotransferase/4-aminobutyrate aminotransferase	Arginine biosynthesis	E	Amino Acid Transport and Metabolism
COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	Biotin biosynthesis	H	Coenzyme Transport and Metabolism
COG0162	Tyrosyl-tRNA synthetase	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG0163	Flavin prenyltransferase UbiX	Ubiquinone biosynthesis	H	Coenzyme Transport and Metabolism
COG0164	Ribonuclease HII		L	Replication, Recombination and Repair
COG0165	Argininosuccinate lyase	Arginine biosynthesis	E	Amino Acid Transport and Metabolism
COG0166	Glucose-6-phosphate isomerase	Glycolysis	G	Carbohydrate Transport and Metabolism
COG0167	Dihydroorotate dehydrogenase	Pyrimidine biosynthesis	F	Nucleotide Transport and Metabolism
COG0168	Trk-type K+ transport system, membrane component		P	Inorganic Ion Transport and Metabolism
COG0169	Shikimate 5-dehydrogenase	Aromatic amino acid biosynthesis	E	Amino Acid Transport and Metabolism
COG0170	Dolichol kinase		O	Post-translational Modification, Protein Turnover, Chaperones
COG0170	Dolichol kinase		M	Cell Wall/Membrane/Envelope Biogenesis
COG0171	NH3-dependent NAD+ synthetase	NAD biosynthesis	H	Coenzyme Transport and Metabolism
COG0172	Seryl-tRNA synthetase	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG0173	Aspartyl-tRNA synthetase	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG0174	Glutamine synthetase	Glutamine biosynthesis	E	Amino Acid Transport and Metabolism
COG0175	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	Cysteine biosynthesis	E	Amino Acid Transport and Metabolism
COG0175	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	Cysteine biosynthesis	H	Coenzyme Transport and Metabolism
COG0176	Transaldolase/fructose-6-phosphate aldolase	Pentose phosphate pathway	G	Carbohydrate Transport and Metabolism
COG0177	Endonuclease III		L	Replication, Recombination and Repair
COG0178	Excinuclease UvrABC ATPase subunit		L	Replication, Recombination and Repair
COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG0180	Tryptophanyl-tRNA synthetase	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG0181	Porphobilinogen deaminase	Heme biosynthesis	H	Coenzyme Transport and Metabolism
COG0182	5-methylthioribose/5-deoxyribulose 1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit		E	Amino Acid Transport and Metabolism
COG0183	Acetyl-CoA acetyltransferase	Fatty acid biosynthesis	I	Lipid Transport and Metabolism
COG0184	Ribosomal protein S15P/S13E	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0185	Ribosomal protein S19	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0186	Ribosomal protein S17	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0187	DNA gyrase/topoisomerase IV, subunit B		L	Replication, Recombination and Repair
COG0188	DNA gyrase/topoisomerase IV, subunit A		L	Replication, Recombination and Repair
COG0189	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily	Lysine biosynthesis	E	Amino Acid Transport and Metabolism
COG0189	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily	Lysine biosynthesis	H	Coenzyme Transport and Metabolism
COG0189	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily	Lysine biosynthesis	J	Translation, Ribosomal Structure and Biogenesis
COG0189	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily	Lysine biosynthesis	Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG0190	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase		H	Coenzyme Transport and Metabolism
COG0191	Fructose/tagatose bisphosphate aldolase	Glycolysis	G	Carbohydrate Transport and Metabolism
COG0192	S-adenosylmethionine synthetase	Methionine biosynthesis	H	Coenzyme Transport and Metabolism
COG0193	Peptidyl-tRNA hydrolase	Translation factors	J	Translation, Ribosomal Structure and Biogenesis
COG0194	Guanylate kinase		F	Nucleotide Transport and Metabolism
COG0195	Transcription antitermination factor NusA, contains S1 and KH domains		K	Transcription
COG0196	FAD synthase	Riboflavin/FAD biosynthesis	H	Coenzyme Transport and Metabolism
COG0197	Ribosomal protein L16/L10AE	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0198	Ribosomal protein L24	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0199	Ribosomal protein S14	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0200	Ribosomal protein L15	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0201	Preprotein translocase subunit SecY		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG0202	DNA-directed RNA polymerase, alpha subunit/40 kD subunit	RNA polymerase	K	Transcription
COG0203	Ribosomal protein L17	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase	Phospholipid biosynthesis	I	Lipid Transport and Metabolism
COG0205	6-phosphofructokinase	Glycolysis	G	Carbohydrate Transport and Metabolism
COG0206	Cell division GTPase FtsZ		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG0207	Thymidylate synthase	Thymidylate biosynthesis	F	Nucleotide Transport and Metabolism
COG0208	Ribonucleotide reductase beta subunit, ferritin-like domain	Pyrimidine salvage	F	Nucleotide Transport and Metabolism
COG0209	Ribonucleotide reductase alpha subunit	Pyrimidine salvage	F	Nucleotide Transport and Metabolism
COG0210	Superfamily I DNA or RNA helicase		L	Replication, Recombination and Repair
COG0211	Ribosomal protein L27	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0212	5-formyltetrahydrofolate cyclo-ligase		H	Coenzyme Transport and Metabolism
COG0213	Thymidine phosphorylase	Pyrimidine salvage	F	Nucleotide Transport and Metabolism
COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS	Pyridoxal phosphate biosynthesis	H	Coenzyme Transport and Metabolism
COG0215	Cysteinyl-tRNA synthetase	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG0216	Protein chain release factor RF1	Translation factors	J	Translation, Ribosomal Structure and Biogenesis
COG0217	Transcriptional and/or translational regulatory protein YebC/TACO1		K	Transcription
COG0217	Transcriptional and/or translational regulatory protein YebC/TACO1		J	Translation, Ribosomal Structure and Biogenesis
COG0218	GTP-binding protein EngB required for normal cell division		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG0219	tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0220	tRNA G46 N7-methylase TrmB	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0221	Inorganic pyrophosphatase		C	Energy Production and Conversion
COG0222	Ribosomal protein L7/L12	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0223	Methionyl-tRNA formyltransferase		J	Translation, Ribosomal Structure and Biogenesis
COG0224	FoF1-type ATP synthase, gamma subunit	FoF1-type ATP synthase	C	Energy Production and Conversion
COG0225	Peptide methionine sulfoxide reductase MsrA		O	Post-translational Modification, Protein Turnover, Chaperones
COG0226	ABC-type phosphate transport system, periplasmic component		P	Inorganic Ion Transport and Metabolism
COG0227	Ribosomal protein L28	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0228	Ribosomal protein S16	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0229	Peptide methionine sulfoxide reductase MsrB		O	Post-translational Modification, Protein Turnover, Chaperones
COG0230	Ribosomal protein L34	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	Translation factors	J	Translation, Ribosomal Structure and Biogenesis
COG0232	dGTP triphosphohydrolase		F	Nucleotide Transport and Metabolism
COG0233	Ribosome recycling factor		J	Translation, Ribosomal Structure and Biogenesis
COG0234	Co-chaperonin GroES (HSP10)		O	Post-translational Modification, Protein Turnover, Chaperones
COG0235	5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation)	Urea cycle	E	Amino Acid Transport and Metabolism
COG0235	5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation)	Urea cycle	G	Carbohydrate Transport and Metabolism
COG0236	Acyl carrier protein	Fatty acid biosynthesis	I	Lipid Transport and Metabolism
COG0237	Dephospho-CoA kinase	Pantothenate/CoA biosynthesis	H	Coenzyme Transport and Metabolism
COG0238	Ribosomal protein S18	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
